(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(77117, 78, 4);1;א;77117;(1, 50, 10, 12, 77117);האטד;2;20364;(1, 50, 10, 4, 20364);4;ויבאו עד גרן האטד אשר בעבר הירדן ויספדו שם מספד גדול וכבד מאד ויעש לאביו אבל שבעת ימים
(77117, 78, 4);5;ה;77195;(1, 50, 11, 21, 77195);האבל;1;20384;(1, 50, 11, 6, 20384);6;וירא יושב הארץ הכנעני את האבל בגרן האטד ויאמרו אבל כבד זה למצרים על כן קרא שמה אבל מצרים אשר בעבר הירדן
(77117, 78, 4);200;ר;77273;(1, 50, 12, 17, 77273);כאשר;4;20405;(1, 50, 12, 5, 20405);5;ויעשו בניו לו כן כאשר צום
(77117, 78, 4);50;ן;77351;(1, 50, 13, 75, 77351);עפרן;4;20425;(1, 50, 13, 19, 20425);19;וישאו אתו בניו ארצה כנען ויקברו אתו במערת שדה המכפלה אשר קנה אברהם את השדה לאחזת קבר מאת עפרן החתי על פני ממרא
