(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(35636, -15, 4);1;א;35636;(1, 26, 24, 27, 35636);אנכי;1;9477;(1, 26, 24, 7, 9477);7;וירא אליו יהוה בלילה ההוא ויאמר אנכי אלהי אברהם אביך אל תירא כי אתך אנכי וברכתיך והרביתי את זרעך בעבור אברהם עבדי
(35636, -15, 4);5;ה;35621;(1, 26, 24, 12, 35621);יהוה;4;9473;(1, 26, 24, 3, 9473);3;וירא אליו יהוה בלילה ההוא ויאמר אנכי אלהי אברהם אביך אל תירא כי אתך אנכי וברכתיך והרביתי את זרעך בעבור אברהם עבדי
(35636, -15, 4);200;ר;35606;(1, 26, 23, 10, 35606);באר;3;9469;(1, 26, 23, 3, 9469);3;ויעל משם באר שבע
(35636, -15, 4);50;נ;35591;(1, 26, 22, 70, 35591);ופרינו;5;9465;(1, 26, 22, 18, 9465);18;ויעתק משם ויחפר באר אחרת ולא רבו עליה ויקרא שמה רחבות ויאמר כי עתה הרחיב יהוה לנו ופרינו בארץ
