(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(13926, 53, 4);1;א;13926;(1, 11, 29, 5, 13926);אברם;1;3730;(1, 11, 29, 2, 3730);2;ויקח אברם ונחור להם נשים שם אשת אברם שרי ושם אשת נחור מלכה בת הרן אבי מלכה ואבי יסכה
(13926, 53, 4);5;ה;13979;(1, 11, 29, 58, 13979);מלכה;4;3745;(1, 11, 29, 17, 3745);17;ויקח אברם ונחור להם נשים שם אשת אברם שרי ושם אשת נחור מלכה בת הרן אבי מלכה ואבי יסכה
(13926, 53, 4);200;ר;14032;(1, 11, 31, 26, 14032);הרן;2;3762;(1, 11, 31, 9, 3762);9;ויקח תרח את אברם בנו ואת לוט בן הרן בן בנו ואת שרי כלתו אשת אברם בנו ויצאו אתם מאור כשדים ללכת ארצה כנען ויבאו עד חרן וישבו שם
(13926, 53, 4);50;נ;14085;(1, 11, 31, 79, 14085);כנען;2;3777;(1, 11, 31, 24, 3777);24;ויקח תרח את אברם בנו ואת לוט בן הרן בן בנו ואת שרי כלתו אשת אברם בנו ויצאו אתם מאור כשדים ללכת ארצה כנען ויבאו עד חרן וישבו שם
