(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(31201, -80, 4);1;א;31201;(1, 24, 36, 18, 31201);לאדני;2;8331;(1, 24, 36, 6, 8331);6;ותלד שרה אשת אדני בן לאדני אחרי זקנתה ויתן לו את כל אשר לו
(31201, -80, 4);5;ה;31121;(1, 24, 35, 3, 31121);ויהוה;3;8310;(1, 24, 35, 1, 8310);1;ויהוה ברך את אדני מאד ויגדל ויתן לו צאן ובקר וכסף וזהב ועבדם ושפחת וגמלים וחמרים
(31201, -80, 4);200;ר;31041;(1, 24, 32, 58, 31041);ורגלי;2;8290;(1, 24, 32, 13, 8290);13;ויבא האיש הביתה ויפתח הגמלים ויתן תבן ומספוא לגמלים ומים לרחץ רגליו ורגלי האנשים אשר אתו
(31201, -80, 4);50;נ;30961;(1, 24, 31, 30, 30961);ואנכי;3;8273;(1, 24, 31, 8, 8273);8;ויאמר בוא ברוך יהוה למה תעמד בחוץ ואנכי פניתי הבית ומקום לגמלים
